Index       TIME             V(CLK0)           V(CSB0)           V(WEB0)         V(DOUT0_0)        V(DOUT0_1)        V(DOUT0_2)        V(DOUT0_3)        V(DOUT0_4)        V(DOUT0_5)        V(DOUT0_6)        V(DOUT0_7)    
0        0.00000000e+00    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00
1        5.00000000e-12    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999912e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
2        1.50000000e-11    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
3        3.50000000e-11    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
4        7.50000000e-11    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
5        1.55000000e-10    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
6        2.55000000e-10    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999912e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
7        3.55000000e-10    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
8        4.55000000e-10    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
9        5.55000000e-10    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
