Index       TIME             V(CLK0)           V(CSB0)           V(WEB0)         V(DOUT0_0)        V(DOUT0_1)        V(DOUT0_2)        V(DOUT0_3)    
0        0.00000000e+00    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00
1        5.00000000e-12    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00
2        1.50000000e-11    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00
3        3.50000000e-11    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00
4        7.50000000e-11    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00
5        1.55000000e-10    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00
6        2.55000000e-10    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00
7        3.55000000e-10    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00
8        4.55000000e-10    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00
9        5.55000000e-10    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00
10       6.55000000e-10    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00
11       7.55000000e-10    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00
12       8.55000000e-10    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00
13       9.55000000e-10    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999909e+00    1.79999909e+00    1.79999909e+00    1.79999909e+00
14       1.00000000e-09    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.79999899e+00    1.79999899e+00    1.79999899e+00    1.79999899e+00
15       1.00500000e-09    1.80000000e-01    1.80000000e+00    1.80000000e+00    1.79999897e+00    1.79999897e+00    1.79999897e+00    1.79999897e+00
16       1.00886864e-09    3.19270916e-01    1.80000000e+00    1.80000000e+00    1.79999898e+00    1.79999898e+00    1.79999898e+00    1.79999898e+00
17       1.01273727e-09    4.58541832e-01    1.80000000e+00    1.80000000e+00    1.79999901e+00    1.79999901e+00    1.79999901e+00    1.79999901e+00
18       1.02047455e-09    7.37083663e-01    1.80000000e+00    1.80000000e+00    1.79999940e+00    1.79999940e+00    1.79999940e+00    1.79999940e+00
19       1.02821182e-09    1.01562550e+00    1.80000000e+00    1.80000000e+00    1.80000001e+00    1.80000001e+00    1.80000001e+00    1.80000001e+00
20       1.03594909e-09    1.29416733e+00    1.80000000e+00    1.80000000e+00    1.79999997e+00    1.79999997e+00    1.79999997e+00    1.79999997e+00
21       1.04368637e-09    1.57270916e+00    1.80000000e+00    1.80000000e+00    1.79999931e+00    1.79999931e+00    1.79999931e+00    1.79999931e+00
22       1.05000000e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999883e+00    1.79999883e+00    1.79999883e+00    1.79999883e+00
23       1.05077373e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999879e+00    1.79999879e+00    1.79999879e+00    1.79999879e+00
24       1.05154745e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999876e+00    1.79999876e+00    1.79999876e+00    1.79999876e+00
25       1.05309491e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999871e+00    1.79999871e+00    1.79999871e+00    1.79999871e+00
26       1.05618982e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999865e+00    1.79999865e+00    1.79999865e+00    1.79999865e+00
27       1.06237964e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999865e+00    1.79999865e+00    1.79999865e+00    1.79999865e+00
28       1.06856946e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999873e+00    1.79999873e+00    1.79999873e+00    1.79999873e+00
29       1.07475927e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999881e+00    1.79999881e+00    1.79999881e+00    1.79999881e+00
30       1.08713891e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999892e+00    1.79999892e+00    1.79999892e+00    1.79999892e+00
31       1.09951855e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999898e+00    1.79999898e+00    1.79999898e+00    1.79999898e+00
32       1.11189818e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999904e+00    1.79999904e+00    1.79999904e+00    1.79999904e+00
33       1.12427782e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999909e+00    1.79999909e+00    1.79999909e+00    1.79999909e+00
34       1.13665746e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00
